ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher
42507160;Dune (Dune Chronicles (Berkley Paperback));Frank Herbert;1984;Berkley Publishing Group
51770689;Gifts from Nature;Matthew Mead;1997;Clarkson N Potter Publishers
440107016;Beggarman, Thief;Irwin Shaw;1986;Dell Publishing Company
81253073;Tales of the Flying Mountains;Poul Anderson;1984;Tor Books (Mm)
671655892;REVOLT IN 2100;Robert A Heinlein;1986;Baen
451452739;2001 A Space Odyssey;Arthur C Clarke;1993;Roc
553569570;The Apocalypse Watch;Robert Ludlum;1996;Bantam Books
671877410;TRAN;Jerry Pournelle;1996;Baen
553281798;Trevayne;Robert Ludlum;1992;Bantam Books
156729156;The Ponder Heart;Eudora Welty;1967;Harcourt
440500303;The Splendid Outcast;Beryl Markham;1988;Bantam Dell Pub Group
1400031257;Longitudes and Attitudes : The World in the Age of Terrorism;THOMAS L FRIEDMAN;2003;Anchor
860917886;I, Rigoberta Menchu: An Indian Woman in Guatemala;Rigoberta Menchu;1987;Verso
805210474;Anti-Semite and Jew;Jean-Paul Sartre;1995;Schocken Books
1931561168;Clara Mondschein's Melancholia;Anne Raeff;2002;MacAdam/Cage Publishing
1573229539;Picasso: My Grandfather;Marina Picasso;2002;Riverhead Books
1578194547;Happiness;Zelig Pliskin;1999;Mesorah Publications, Limited
684869497;The Gardens of Kyoto: A Novel;Kate Walbert;2002;Scribner
60937556;The Sweetest Dream : A Novel;Doris Lessing;2002;Perennial
805072772;A Death in Texas: A Story of Race, Murder, and a Small Town's Struggle for Redemption;Dina Temple-Raston;2003;Owl Books (NY)
671224387;BLIND AMBITION;John Wesley Dean;1976;Simon & Schuster
805207457;On Being a Jewish Feminist: A Reader;Susannah Heschel;1983;Random House
767904605;Going on Being: Buddhism and the Way of Change : A Positive Psychology for the West;Mark Epstein;2001;Broadway Books
1560254505;Nothing Sacred: Women Respond to Religious Fundamentalism and Terror;Betsy Reed;2002;Nation Books
81293217;Finding Your Own North Star: Claiming the Life You Were Meant to Live;Martha Nibley Beck;2001;Crown Publishers
141802812;In the Heart of the Sea: The Tragedy of the Whaleship Essex;Nathaniel Philbrick;2001;Penguin Putnam
679732233;The Red Badge of Courage (Vintage Books/the Library of America);Stephen Crane;1990;Vintage Books USA
375417206;Corelli's Mandolin;LOUIS DE BERNIERES;2001;Random House Audio
192815539;Picture of Dorian Gray (World's Classics);Oscar Wilde;1982;Oxford University Press
679735011;The Adventures of Tom Sawyer (Vintage Books/the Library of America);Mark Twain;1991;Vintage Books USA
875425925;Kundalini and the Chakras: A Practical Manual-Evolution in This Lifetime (Llewellyn's new age series);Genevieve Lewis Paulson;1991;Llewellyn Publications
393087913;China Revisited, After Forty-Two Years;Chiang Yee;1977;WW Norton & Company Ltd
252062825;Studs Lonigan: A Trilogy Comprising Young Lonigan, the Young Manhood of Studs Lonigan, and Judgement Day (Prairie State Books);James T Farrell;1993;University of Illinois Press
375420762;Bayou Farewell: The Rich Life and Tragic Death of Louisiana's Cajun Coast;Mike Tidwell;2003;Pantheon Books
877957215;Washington Wives;Maureen Dean;1987;Arbor House Pub Co
802139914;Goodbye Tsugumi;Banana Yoshimoto;2003;Grove Press
738205702;Ever Is a Long Time: A Journey into Mississippi's Dark Past : A Memoir;W Ralph Eubanks;2003;Basic Books
743222245;Living History;Hillary Rodham Clinton;2003;Simon & Schuster
971156905;The Secret of the Yamas : A Spiritual Guide to Yoga;John McAfee;2001;McAfee Pub
804106436;Oldest Living Confederate Widow Tells All;Allan Gurganus;1990;Ivy Books
395519462;Body & Soul;Frank Conroy;1993;Houghton Mifflin
452270251;The Lost Beatles Interviews;Geoffrey Giuliano;1996;Penguin USA
449219402;Murder at the Pentagon (Capital Crime Mysteries);Margaret Truman;1994;Fawcett Books
934211477;Tales of Two Cities: A Persian Memoir;Abbas Milani;1996;Mage Publishers
385491239;Only Twice I'Ve Wished for Heaven: A Novel (Mysteries & Horror);Dawn Turner Trice;1998;Anchor Books/Doubleday
156027453;Sunday Jews;Hortense Calisher;2003;Harvest Books
69452350;Blue Latitudes : Boldly Going Where Captain Cook has Gone Before;Tony Horwitz;2002;HarperAudio
446691798;Nights in Rodanthe;Nicholas Sparks;2003;Warner Books
1883642434;My Home Is Far Away;DAWN POWELL;1998;Zoland Books
140086412;Later the Same Day (Contemporary American Fiction Series);Grace Paley;1986;Penguin USA
961035269;A Walking Tour of the Shambles;Neil Gaiman;2002;American Fantasy
452283906;Snow Island;Katherine Towler;2003;Plume Books
60952652;Lighten Up! : Free Yourself from Clutter;Michelle Passoff;1998;Perennial Currents
449006581;Brothel: Mustang Ranch and Its Women;Alexa Albert;2002;Ballantine Books
185799597;A Guide to Happiness (Phoenix 60p Paperbacks);Epicurus;1995;Orion Publishing Co
1585670227;The Last Kabbalist of Lisbon;Richard Zimler;2000;Overlook Press
743206371;Soul Stories;Gary Zukav;2000;Free Press
814402860;Supermotivation: A Blueprint for Energizing Your Organization from Top to Bottom;Dean R Spitzer;1995;American Management Association
671526065;Forrest Gump: A Novel;Winston Groom;1994;Pocket Books
446671304;Deadline Poet: My Life As a Doggerelist;Calvin Trillin;1995;Warner Books
38547167;Minding the Body: Women Writers on Body and Soul;Patricia Foster;1995;Anchor
60913983;Proud Shoes: The Story of an American Family;Pauli Murray;1987;Harpercollins
874411033;As a Driven Leaf;Milton Steinberg;1996;Behrman House Publishing
345434471;L.A. Requiem;ROBERT CRAIS;2000;Ballantine Books
44661078;Passing Through Paradise;Susan Wiggs;2002;Warner Books
1575667266;Sour Grapes: A Savannah Reid Mystery (Savannah Reid Mysteries (Paperback));G A McKevett;2001;Kensington Publishing Corporation
1551669412;Hot Shot;Charlotte Hughes;2002;Mira
1400047943;The 5 Patterns of Extraordinary Careers : The Guide for Achieving Success and Satisfaction;JAMES M CITRIN;2003;Crown Business
451205448;Bubbles Unbound;Sarah Strohmeyer;2002;Signet Book
877142912;Ellie's Choice;T L Gray;2002;Denlingers Pub Ltd
452284295;Cheet (Plume Books);Anna Davis;2003;Plume Books
425190749;Keepsake Crimes (First Scrapbooking Mystery);Laura Childs;2003;Berkley Publishing Group
60517212;If the Slipper Fits (Avon Romance);Elaine Fox;2003;Avon
60548215;If Cooks Could Kill : An Angie Amalfi Mystery (Angie Amalfi Mysteries);Joanne Pence;2002;Avon
451197550;The Hand That Rocks the Ladle: A Pennsylvania Dutch Mystery With Recipes (Pennsylvania Dutch Mysteries with Recipes (Paperback));Tamar Myers;2000;Signet Book
159184021;Purple Cow: Transform Your Business by Being Remarkable;Seth Godin;2003;Portfolio Hardcover
743442652;The Pink Magnolia Club;Geralyn Dawson;2002;Pocket
345434137;Chicks Rule: The Story of the Dixie Chicks;Scott Gray;1999;Ballantine Books
82176845;On Thin Ice;Susan Andersen;2002;Zebra Books
1575664798;Cooked Goose: A Savanna Reid Mystery (Savannah Reid Mysteries (Paperback));G A McKevett;1999;Kensington Publishing Corporation
312970757;Death in Texas (St. Martin's True Crime Library.);Carlton Smith;1999;St Martin's True Crime Classics
1575667223;Blueberry Muffin Murder (Hannah Swensen Mysteries (Paperback));Joanne Fluke;2003;Kensington Publishing Corporation
1575667215;Strawberry Shortcake Murder: A Hannah Swensen Mystery (Hannah Swensen Mysteries (Paperback));Joanne Fluke;2002;Kensington Publishing Corporation
739302213;The King of Torts;JOHN GRISHAM;2003;Random House Audio
38081918;Getting Lucky (Avon Light Contemporary Romances);Susan Andersen;2003;Avon
37370920;And Baby Makes Six (9 Months Later) (Superrromance, 920);Linda Markowiak;2000;Harlequin
373243146;Good Morning Stranger (Special Edition, 1314);Lauri Cambell;2000;Silhouette
380816830;Something Wild (Avon Light Contemporary Romances);Patti Berg;2002;Avon
373708513;Jessie's Father (Harlequin Superromance, 851);CJ Carmichael;1999;Harlequin
425184315;Just Desserts;Claudia Bishop;2002;Berkley Publishing Group
380814390;Lola Carlyle Reveals All (Avon Light Contemporary Romances);Rachel Gibson;2002;Avon
312978723;Falling for You;Julie Ortolon;2002;St Martin's Paperbacks
380793806;Funeral Food (Tory Bauer Mystery);Kathleen Taylor;1998;Avon
1551666189;Manhunting (Mira);Jennifer Crusie;2000;Mira
743219333;Baby Catcher : Chronicles of a Modern Midwife;Peggy Vincent;2002;Scribner
373708661;Message For Abby (Patton'S Daughter) (Harlequin Superromance, No. 866);Claire M Johnson;1999;Harlequin
373708408;If He Could See Me Now (Harlequin Superromance #840);Rebecca Winters;1999;Harlequin
671786601;To Trust a Stranger;Karen Robards;2002;Pocket Star
446609188;Then Comes Marriage;Kasey Michaels;2002;Warner Forever
37344155;Cindy and the Fella / Calling All Glass Slippers;Jacueline Diamond;2002;Harlequin
505524228;Stuck With You (Time of Your Life);Trish Jensen;2001;Love Spell
747266395;Jinnie;Josephine Cox;2002;Trafalgar Square
553578758;A Ghost for Maggie;Emily Carmichael;1999;Bantam Books
380782340;Nobody's Baby But Mine;Susan Elizabeth Phillips;1997;Avon
373166125;Wanted: Christmas Mommy (Harlequin American Romance, No. 612);Judy Christenberry;1995;Harlequin
373195419;This Kiss (Destiny, Texas) (Silhouette Romance, No. 1541);Teresa Southwick;2001;Silhouette
373291027;Bride For Mccain (Historical, 502);Sabrina Burton;2000;Harlequin
849935369;The Exchange Student's Secret (Heather Reed Mystery Series);Rebecca P Janney;1994;Thomas Nelson Inc
373169043;Cinderella's Shoe Size (Harlequin American Romance);Kathleen Webb;2001;Harlequin
373441568;Hitched for the Holidays / A Groom in Her Stocking (Harlequin Duets, No. 90);Jennifer Drew;2002;Harlequin
373825412;Bride For Daddy (Weddings By Dewilde);Leandra Logan;1996;Harlequin
671039350;Sunflower;Martha Powers;2000;Pocket
1890768030;Secret's Shadow: The First Cassidy McCabe Mystery (The First Cassidy Mccabe Mystery);Alex Matthews;1998;Intrigue Press
312966369;Death at Every Stop: The True Story of Alleged Gay Serial Killer Andrew Cunanan the Man Accused of Murdering Designer Versace (St. Martin's True Crime Library);Wensley Clarkson;1997;St Martin's Press
312956436;Like Mother, Like Son (Like Mother Like Son);William G Flanagan;1995;St Martin's Press
671526677;ALL SHE WANTED;Ariel Jennifer Jones;1996;Pocket
671731866;UNFINISHED MURDER: THE CAPTURE OF A SERIAL RAPIST;James Neff;1996;Pocket
821771175;Be My Baby Tonight (Zebra Contemporary Romance S.);Kasey Michaels;2002;Zebra Books
37316680;Daddy Factor (Harlequin American, No 680);Bonnie K Winn;1997;Harlequin
373707053;Trouble With Texans (Family Man) (Harlequin Superromance, No 705);Maggie Simpson;1996;Harlequin
312971370;Soap Opera;Eileen Fulton;2000;St Martin's Press
505524279;Baby, Oh Baby! (Time of Your Life);Robin Wells;2001;Love Spell
50552497;The Last Male Virgin;Katherine Deauxville;2002;Love Spell
312981848;Record Time;Beverly Brandt;2002;St Martin's Paperbacks
373272006;Princess And The Mercenary (Romancing The Crown) (Silhouette Intimate Moments, No. 1130);Marilyn Pappano;2002;Silhouette
373226586;Scarlet Vows (Moriah's Landing) (Harlequin Intrigue Series, No. 658);Dani Sinclair;2002;Harlequin
515133868;Once Upon a Kiss;Nora Roberts;2002;Jove Books
373217218;Mom's Main Man (2 novels in 1);Sandy Steen;2001;Harlequin
373710763;Child Of Her Dreams (Harlequin Superromance, 1076);Joan Kilby;2002;Harlequin
1551668270;Cold Tea On A Hot Day;Curtiss Matlock;2001;Mira
804119686;I Got You, Babe;JANE GRAVES;2001;Ivy Books
37322608;To Protect Their Child (Harlequin Intrigue 608);Sheryl Lynn;2001;Harlequin
373226055;The Hunt for Hawke's Daughter (Harlequin Intrigue 605);Jean Barrett;2001;Harlequin
373259786;Her Perfect Stranger (The Wrong Bed) (Harlequin Temptation, No. 878);Jill Shalvis;2002;Harlequin
373790554;Take Me (Blaze, 51);Cherry Adair;2002;Harlequin
373226470;Accessory To Marriage (Harlequin Intrigue, No. 647);Ann Peterson;2002;Harlequin
821773402;Reconsidering Riley;Lisa Plumley;2002;Zebra Books
373834853;Meant To Be;Jayne Ann Krenitz;2001;Harlequin
37371047;BABES IN ARMS - FOUR SEASONS IN FIREFLY GLEN (Harlequin Superromance, No. 1047);Kathleen O'Brien;2002;Harlequin
821765221;Can't Take My Eyes Off of You (Zebra Book.);Kasey Michaels;2000;Kensington Publishing Corporation
553575066;The Scotsman Wore Spurs;Patricia Potter;1997;Bantam Books
446403830;Wolf in the Shadows;Marcia Muller;1994;Warner Books
74342347;The Wildflowers (omnibus) : Misty--Star--Jade--Cat (Wildflowers (Paperback));VC Andrews;2001;Pocket
312955421;Whatever Mother Says: An Incredible True Story of Death and Destruction Inside One Ordinary      Family (St. Martin's True Crime Library);Wensley Clarkson;1995;St Martin's Press
373037147;The Pregnancy Plan  (Maybe Baby);Grace Green;2002;Harlequin
446609005;Word;Coerte V W Felske;2000;Warner Books
671729454;If There Be Thorns (Dollanganger);VC Andrews;1990;Pocket
671007718;Into the Garden (Wildflowers);VC Andrews;1999;Pocket Books
804117438;Fatal Reaction: A Novel (Kate Millholland Novel);Gini Hartzmark;1998;Ivy Books
1551665506;Escape From Cabriz;Linda Lael Miller;1999;Mira
446364819;Stork Club;Iris Ranier Dart;1994;Warner Vision
373226780;Prince Under Cover  (Chicago Cinfidential) (Harlequin Intrigue, No. 678);Adrianne Lee;2002;Harlequin
373194870;Hunter'S Vow (Silhouette Romance, No 1487);Susan Meier;2000;Silhouette
373226802;The Night In Question (Harlequin Intrigue, No. 680);Harper Allen;2002;Harlequin
373441436;Anything You Can Do...! / Anchor That Man! (Duets, 77);Darlene Gardner;2002;Harlequin
373441452;Duets 2 - In - 1  #79  (Sexy, Single and Searching / Eager, Eligible & Alaskan) (Duets, No 79);Lori Wilde;2002;Harlequin
380781565;Home Again, Home Again (E. J. Pugh Mysteries);Susan Rogers Cooper;1997;Avon Books
9871106181;El Club Dumas;Arturo Perez-Reverte;2003;Suma de Letras
8478886451;Harry Potter y el cáliz de fuego;J K Rowling;2001;Lectorum Publications
8478885196;Harry Potter y el prisionero de Azkaban;J K Rowling;2000;Salamandra
8478884955;Harry Potter y la cámara secreta;J K Rowling;1999;Lectorum Publications
8478884459;Harry Potter y la piedra filosofal;J K Rowling;1999;Lectorum Publications
8475073697;Con pólvora e magnolias (Biblioteca das letras galegas);X L Méndez Ferrín;1989;Edicións Xerais de Galicia
8426434029;Fantasma de Canterville, El;Oscar Wilde;1998;Lumen Espana
9507682074;El Retrato De Dorian Gray;Oscar Wilde;2002;Grupo Imaginador
451528522;The Invisible Man (Signet Classics (Paperback));H G Wells;2002;Signet Classics
803728719;Get on out of here, Philip Hall;Bette Greene;1981;Dial Press
803760965;Philip Hall Likes Me I Reckon Maybe;Betty Greene;1974;Penguin USA (J)
553482939;Rumors at the Rink (Silver Blades);Melissa Lowell;1995;Skylark Books
553483579;A New Move (Silver Blades, No 15);Melissa Lowell;1996;Skylark Books
553482890;The Ice Princess (Silver Blades);Melissa Lowell;1995;Skylark Books
61062081;Graduation Day (Beverly Hills 90210, No 12);Mel Gilden;1994;Harpercollins Childrens Books
61067865;Beverly Hills 90210: 'Tis the Season;Mel Gilden;1992;Harpercollins Juvenile Books
61061441;Beverly Hills 90210: Two Hearts (Beverly Hills, 90210, No 7);Mel Gilden;1993;Harpercollins Childrens Books
6106727;Beverly Hills 90210: Fantasies (Beverly Hills, 90210, No 5);KT Smith;1992;Harpercollins Childrens Books
440943930;The Kestrel;Lloyd Alexander;1991;Laurel-Leaf Books
440997313;Westmark (Laurel Leaf Books);Lloyd Alexander;1982;Laure Leaf
553264753;Shadow of a Unicorn;Norma Johnston;1987;Starfire
393311465;Voyage in the Dark (Norton Paperback Fiction);Jean Rhys;1994;W W Norton & Company
140183078;The Go-Between (Penguin Twentieth-Century Classics);L P Hartley;1994;Penguin USA
192815555;The Life and Strange Surprizing Adventures of Robinson Crusoe, of York Mariner;Daniel Defoe;1982;Oxford University Press
449208648;A Palm for Mrs. Pollifax;Dorothy Gilman;1995;Fawcett Books
449214281;Ragtime;E L Doctorow;1989;Fawcett Books
44918336;Mrs. Pollifax, Innocent Tourist (Mrs. Pollifax Mysteries (Paperback));Dorothy Gilman;1997;Fawcett Books
449150046;Mrs. Pollifax and the Lion Killer (Mrs. Pollifax Mysteries (Paperback));Dorothy Gilman;1997;Fawcett Books
140104771;The Suspect (Penguin Crime Fiction);LR Wright;1993;Penguin USA
671827774;HAPPY ALL TIME;Laurie Colwin;1979;Pocket
393000567;Rhys Wide Sargasso Sea (Paper Only);RHYS;1986;WW Norton & Company Ltd
30074312;The Foundling, and Other Tales of Prydain.;Lloyd Alexander;1973;Henry Holt & Co (J)
553211668;Candide (Candide);Francois M Voltaire;1984;Bantam
394550846;Perfume: The Story of a Murderer;Patrick Suskind;1986;Random House Inc
679737383;Anywhere but Here;MONA SIMPSON;1992;Vintage
1878424084;The 12 Stages of Healing: A Network Approach to Wholeness;Donald M Epstein;1994;Amber-Allen Publishing
140430032;Great Expectations (English Library);Charles Dickens;1985;Penguin USA
670032670;The Forest Lover;Susan Vreeland;2004;Viking Books
60929952;Five Fortunes;Beth Gutcheon;1999;Perennial
141001682;Life Is So Good;George Dawson;2001;Penguin Books
60937742;In the Country of the Young;Lisa Carey;2002;Perennial
60913568;Dance of Anger a Womans Guide to Changing The;Harriet Lerner;1986;Harper Row
345439163;How Much Joy Can You Stand : A Creative Guide to Facing Your Fears and Making Your Dreams Come True (Revised, updated, and with new chapters);SUZANNE FALTER-BARNS;2000;Wellspring/Ballantine
972100539;The Miracle of Death;Betty J, PhD Kovacs;2003;Kamlak Center
1580632068;Be Loved for Who You Really Are: How the Differences Between Men and Women Can Be Turned into the Source of the Very Best Romance You'll Ever Know;Judith Sherven;2001;Renaissance Books
425140040;For My Lady's Heart;Laura Kinsale;2004;Berkley Publishing Group
62701649;Never Call Your Broker on Monday: And 300 Other Financial Lessons You Can't Afford Not to Know;Nancy Dunnan;1997;HarperResource
553277944;The Widows Club;Dorothy Cannell;1992;Bantam Books
1591251478;Empire: A Tale of Obsession, Betrayal, and the Battle for an American Icon (Wiley Audio);Mitchell Pacelle;2002;Penton Overseas
887307876;The Dilbert Principle: A Cubicle'S-Eye View of Bosses, Meetings, Management Fads & Other Workplace Afflictions;Scott Adams;1996;HarperBusiness
1556521952;The Book group book: A thoughtful guide to forming and enjoying a stimulating book discussion group;Ellen Slezak;1993;Distributed by Independent Publishers Group
1582700230;The Holistic Animal Handbook: A Guidebook to Nutrition, Health, and Communication;Kate Solisti-Mattelon;2000;Beyond Words Publishing
1567403263;Cloud Nine;Luanne Rice;2000;Paperback Nova Audio
449002268;News of the Spirit (Ballantine Reader's Circle);LEE SMITH;1998;Ballantine Books
205187382;Guide to Rapid Revision;Daniel D Pearlman;1995;Prentice Hall
553345834;What They Don't Teach You at Harvard Business School;Mark H McCormack;1988;Bantam
970866402;The Cancer Breakthrough You've Never Heard of;Richard A, Md Evans;2001;Texas Cancer Center
39592684;The Best American Short Stories 1999 (Best American Short Stories, 1999);Amy Tan;1999;Mariner Books
159129021;Triangular Reflections;Paul E Morin;2001;PublishAmerica
805058001;Aveda Rituals : A Daily Guide to Natural Health and Beauty;Horst Rechelbacher;1999;Owl Publishing Company
8174480536;The Jungle;Sanjay Sonawani;2001;Duxbury Resource Center
8174480854;Three No Trumps;Raj Supe;2001;Coral Tree Publishers
684848376;FOOD AND WHINE : Confessions of a New Millennium Mom;Jennifer Moses;1999;Simon & Schuster
761119396;Three Black Skirts : All You Need To Survive;Anna Johnson;2000;Workman Publishing
8174480323;Last Of The Wanderers;Sanjay Sonawani;2001;Duxbury Resource Center
836279077;The Best of Dear Abby;Abigail Van Buren;1983;Andrews McMeel Pub
938756605;The Disobedience Of The Daughter Of The Sun: Ecstasy and Time;Martin Prechtel;2001;Yellow Moon Press
8174480277;On The Brink Of Death;Sanjay Sonawani;2001;Pushpaparakashan
452282691;Motiba's Tattoos;Mira Kamdar;2001;Plume Books
679752927;My Own Country: A Doctor's Story;A Verghese;1995;Vintage Books USA
1580631797;Linda McCartney: A Portrait;Danny Fields;2001;Renaissance Books
6091646;The Dance of Intimacy: A Woman's Guide to Courageous Acts of Change in Key Relationships;Harriet Lerner;1990;Perennial
883964368;Light a Candle: A Whimsical & Uplifting Look at Life from the Pen & Brush of Kristin;Kristin Sheldon;1996;Carlton Press Corporation
970351704;Making Scenes;Adrienne Eisen;2001;Broadvision
31220387;The Third Heiress;Brenda Joyce;1999;St Martins Pr
452281636;Ralph's Party;Lisa Jewell;2000;Plume Books
425111911;The Billion Dollar Sure Thing;Paul E Erdman;1988;Berkley Pub Group
80410946;Object Lessons;Anna Quindlen;1992;Ivy Books
312289189;Queenmaker : A Novel of King David's Queen;India Edghill;2002;St Martin's Press
743422449;Mercy;Jodi Picoult;2001;Washington Square Press
425176339;The Brass Dolphin;Caroline Harvey;2000;Berkley Publishing Group
446359203;Carrion Comfort;Dan Simmons;1990;Warner Books
1893705153;Ordering from the Cosmic Kitchen: The Essential Guide to Powerful, Nourishing Affirmations;Patricia J Crane;2002;Health Horizons
440206529;Blessings;Belva Plain;1990;Dell
312962258;Red Leaves (Red Leaves);Paullina Simons;1997;St Martin's Press
972051007;And Howls for Us to Follow: A Book of Poems;Kenny Rose Butts;2002;Sunny Rays Pr
970997582;The Other Side of the Moon;Vladimir Chernozemsky;2002;Atlasbooks Dist Serv
525933654;Franklin's Crossing;Clay Reynolds;1992;Penguin USA
30554381;Things Fall Apart;Chinua Achebe;1999;Harcourt School
741408155;Curtain Call;Patti G Fields;2001;Infinity Publishingcom
811813401;Beauty;John Miller;1997;Chronicle Books Llc
452279593;The Magician's Wife (William Abrahams Book);Brian Moore;1999;Plume Books
96146206;Luna Yoga : Vital Fertility and Sexuality;Adelheid Ohlig;1994;Ash Tree Publishing
671795694;INDECENT PROPOSAL : INDECENT PROPOSAL;Jack Engelhard;1993;Pocket
1552790401;The Total Man: A Complete Guide to Marital Bliss;D J Brown;2002;Picasso Publications
800757769;Whirlpool (Mccourtney, Lorena. Julesburg Mysteries, Bk. 1.);Lorena McCourtney;2002;Revell
312978383;Winter Solstice;Rosamunde Pilcher;2001;St Martin's Paperbacks
51511779;Born in Shame;Nora Roberts;1996;Jove Books
55358264;Dream Country;Luanne Rice;2002;Bantam Books
380978091;The House of Gentle Men;Kathy Hepinstall;2000;William Morrow
452271657;Singing Songs;Meg Tilly;1995;Penguin USA
451175123;The Fountainhead;Ayn Rand;1995;New Amer Library
380756250;Once a Princess;Johanna Lindsey;1991;Avon
312420323;A Good House;Bonnie Burnard;2001;Picador USA
972386602;Divinely Inspired: Spiritual Awakening of a Soul;Jerry J Pollock;2003;White Julip
60924802;Tales of the city (Tales of the city series);Armistead Maupin;1994;HarperPerennial
37570910;The Feast of Love (Vintage Contemporaries (Paperback));Charles Baxter;2001;Vintage Books USA
142003514;Coffee, Tea or Me? The Uninhibited Memoirs of Two Airline Stewardesses;Trudy Baker;2003;Penguin Books
394561120;Sleeping Arrangements;Laura Cunningham;1989;Random House Inc
1574900684;A Cottage in Portugal;Richard Hewitt;1996;Thomas T Beeler Publisher
312186924;The Jade Peony: A Novel;Wayson Choy;1998;Picador USA
440123747;The Exiles (Australians, Vol 1);William Stuart Long;1988;Dell Publishing Company
688158129;The Pact : A Love Story;Jodi Picoult;1998;William Morrow
312119305;The Palace Thief Stories;Ethan Canin;1995;Picador USA
87905283;Wearing Dad's Head;Barry Yourgrau;1987;Gibbs Smith
316895245;In the Hand of Dante: A Novel;Nick Tosches;2002;Little, Brown
393308499;The Miracle Game;Josef Skvorecky;1992;W W Norton & Company
312270933;Shame: A Novel;Salman Rushdie;2000;Picador USA
679744665;The Moor's Last Sigh;Salman Rushdie;1997;Vintage Books USA
452269865;Black Water (Plume Contemporary Fiction);Joyce Carol Oates;1993;Plume Books
385264666;Palace Walk (Cairo Trilogy);Naguib Mahfouz;1991;Anchor
60927569;High Tide in Tucson : Essays from Now or Never;Barbara Kingsolver;1996;Perennial
140424385;The Canterbury Tales (Penguin Classics);Geoffrey Chaucer;2003;Penguin Books
679457852;Visitors;Anita Brookner;1998;Random House
440167361;The Other;Thomas Tryon;1987;Dell Publishing Company
140157379;Haroun and the Sea of Stories;Salman Rushdie;1991;Penguin Books
140442618;Timaeus and Critias (Penguin Classics);Plato;1972;Penguin Books
884191338;Bruchko;Bruce Olson;1977;Creation House
340165634;Nethergate;Norah Lofts;1973;Hodder and Stoughton
891902309;The Town House;Norah Robinson Lofts;1959;Amereon Limited
449237923;The House at Old Vine;Norah Robinson Lofts;1978;Fawcett Books
64473511;A Tale of Time City;Diana Wynne Jones;2002;HarperTrophy
786704799;Oscar Wilde : Including My Memories of Oscar Wilde by George Bernard Shaw;Frank Harris;1997;Carroll & Graf Publishers
385721765;Swimming Toward the Ocean;Carole L Glickfeld;2002;Anchor Books/Doubleday
394736656;Herland;Charlotte Perkins Gilman;1979;Pantheon Books
316196614;This Body : A Novel of Reincarnation;Laurel Doud;2000;Back Bay Books
451526562;A Tale of Two Cities;Charles Dickens;1997;Signet Book
553210165;Hard Times (Bantam Classics);CHARLES DICKENS;1981;Bantam Classics
787119784;Alice in Wonderland: Including Alice's Adventures in Wonderland and Through the Looking-Glass;Lewis Carroll;1999;Dove Books
60912529;Unbearable Lightness of Being;Milan Kundera;1985;Harpercollins Publisher
393314073;The Eleven Million Mile High Dancer (Norton Paperback Fiction);Carol Hill;1996;W W Norton & Company
672520885;Sanya: My Life With Aleksandr Solzhenitsyn;Natalya Reshetovskaya;1975;Bobbs-Merrill Co
1577656954;Moby Dick (Great Illustrated Classics);Herman Melville;2002;Abdo & Daughters Publishing
451521897;Treasure Island;Robert Louis Stevenson;1994;Signet Classics
553273221;April Morning;HOWARD FAST;1983;Bantam
590422677;Avalanche;Arthur Roth;1989;Scholastic Paperbacks (Mm)
671646990;HIGH MARKS FOR MALICE NANCY DREW #32 (The Nancy Drew Files Case 32);Carolyn Keene;1989;Simon Pulse
679445102;A Long Fatal Love Chase;Louisa May Alcott;1995;Random House Inc
440156998;MAZES & MONSTERS;RONA JAFFE;1982;Dell
425158632;Executive Orders (Jack Ryan Novels);Tom Clancy;1997;Berkley Publishing Group
449237575;Menfreya in Morning;Holt;1982;Fawcett Books
140444270;On War (Classics S.);Karl Von Clausewitz;1982;Penguin Books
742628191;The Phantom 'Rickshaw and Other Tales (Collected Works of Rudyard Kipling);Rudyard Kipling;2000;Classic Books
812963741;Troublemaker: One Man's Crusade Against China's Cruelty;Hongda Harry Wu;1996;Crown Publishers
192825232;The Mysteries of Udolpho (Oxford World's Classics);Ann Ward Radcliffe;1998;Oxford University Press
42511306;The Sea King's Daughter;Barbara Michaels;1988;Berkley Publishing Group
2830202813;Bride of Pendorric (Heron books);Victoria Holt;1982;Edito-Service
30119502;Castle of Otranto;Horace Walpole;1963;Thomson Learning
380017997;Lady Oracle;Margaret Eleanor Atwood;1978;Avon Books
449207439;Dream of Orchids;PHYLLIS A WHITNEY;1985;Ivy Books
671755064;SHAMPOO PLANET : SHAMPOO PLANET;Douglas Coupland;1993;Washington Square Press
590424564;Trick or Treat;Richie Tankersley Cusick;1989;Scholastic Paperbacks
380775506;Promise Me Heaven;Connie Brockway;1994;Harper Mass Market Paperbacks (Mm)
515116386;Texas Kiss (Wildflower);Alexandra Blackstone;1995;Jove Books
380754029;Renegade Love;Katherine Sutcliffe;1989;Avon Books
1557739404;Heaven on Earth (Diamond);Michelle Brandon;1993;Diamond Books (NY)
843941790;Golden Dreams;Anna Deforest;1997;Leisure Books
440206499;All My Heart Can Hold;Jessica Douglass;1991;Dell Publishing Company
843935391;Treasures of the Heart;Connie Mason;1993;Leisure Books
821754084;Endless Night;Patricia Pellicane;1996;Zebra Books
843935405;Reluctant Lovers;Elizabeth Chadwick;1993;Leisure Books
